Schaefer2018_400Parcels_17Networks_order atlas,
Labels ,n_vertices
17Networks_LH_VisCent_ExStr_9-lh,16
17Networks_LH_VisCent_Striate_1-lh,15
17Networks_LH_VisPeri_ExStrInf_1-lh,16
17Networks_LH_VisPeri_ExStrInf_2-lh,13
17Networks_LH_VisPeri_ExStrInf_3-lh,8
17Networks_LH_VisPeri_ExStrInf_4-lh,7
17Networks_LH_VisPeri_ExStrInf_5-lh,10
17Networks_LH_VisPeri_ExStrSup_1-lh,15
17Networks_LH_VisPeri_ExStrSup_2-lh,11
17Networks_LH_VisPeri_ExStrSup_3-lh,11
17Networks_LH_VisPeri_ExStrSup_4-lh,8
17Networks_LH_VisPeri_ExStrSup_5-lh,8
17Networks_LH_VisPeri_StriCal_1-lh,15
17Networks_LH_VisPeri_StriCal_2-lh,17
17Networks_RH_ContA_Cingm_1-rh,10
17Networks_RH_ContA_IPS_1-rh,9
17Networks_RH_ContA_IPS_2-rh,10
17Networks_RH_ContA_IPS_3-rh,7
17Networks_RH_ContA_IPS_4-rh,9
17Networks_RH_ContA_PFCd_1-rh,12
17Networks_RH_ContA_PFCl_1-rh,10
17Networks_RH_ContA_PFCl_2-rh,11
17Networks_RH_ContA_PFCl_3-rh,9
17Networks_RH_ContA_PFCl_4-rh,16
17Networks_RH_ContA_PFCl_5-rh,8
17Networks_RH_ContB_IPL_1-rh,9
17Networks_RH_ContB_IPL_2-rh,9
17Networks_RH_ContB_IPL_3-rh,8
17Networks_RH_ContB_IPL_4-rh,13
17Networks_RH_ContB_PFCld_1-rh,11
17Networks_RH_ContB_PFCld_2-rh,13
17Networks_RH_ContB_PFCld_3-rh,7
17Networks_RH_ContB_PFCld_4-rh,12
17Networks_RH_ContB_PFClv_1-rh,10
17Networks_RH_ContB_PFClv_2-rh,11
17Networks_RH_ContB_PFClv_3-rh,11
17Networks_RH_ContB_PFClv_4-rh,23
17Networks_RH_ContB_PFCmp_1-rh,9
17Networks_RH_ContB_Temp_1-rh,17
17Networks_RH_ContB_Temp_2-rh,11
17Networks_RH_ContC_Cingp_1-rh,6
17Networks_RH_ContC_Cingp_2-rh,12
17Networks_RH_ContC_pCun_1-rh,4
17Networks_RH_ContC_pCun_2-rh,11
17Networks_RH_ContC_pCun_3-rh,12
17Networks_RH_ContC_pCun_4-rh,10
17Networks_RH_ContC_pCun_5-rh,9
17Networks_RH_DefaultA_IPL_1-rh,17
17Networks_RH_DefaultA_IPL_2-rh,16
